"","Week3","Predict_Gumbel_05","Predict_Gumbel_075","Predict_Gumbel_095","Predict_Gumbel_1","Predict_Gumbel_12","LLK","Predict_Logit_05","Predict_Logit_075","Predict_Logit_095","Predict_Logit_1","Predict_Logit_12","Predict_True_05","Predict_True_075","Predict_True_095","Predict_True_1","Predict_True_12"
"762",-0.210829741750804,0.000343667339195257,1.10403485804752e-05,7.05338717452819e-07,3.54609959223975e-07,2.26548765773331e-08,0.493879475732065,0.078467597396695,NA,NA,NA,NA,0.00196857182291041,0.000114170727844331,1.16935234713032e-05,6.61512585091078e-06,6.7749412463735e-07
"763",-0.104815601957084,0.0215914559644805,0.00138443884194269,0.00015239833890171,8.77696045333122e-05,9.65502332594782e-06,0.0239615629229324,NA,NA,NA,NA,NA,0.0237920051988586,0.00139611144234423,0.000143084428610169,8.09466821927334e-05,8.29053958527309e-06
"764",-0.113648142147305,0.000526688543449544,1.08188804517967e-05,4.83272626022019e-07,2.22174457590941e-07,5.58384512878875e-11,0.515660874431978,0.150649881685575,NA,NA,NA,NA,0.00390364680903938,0.000226630689906285,2.32131409744561e-05,1.31319084243127e-05,1.34492074098404e-06
"765",-0.034440670583052,0.00198112228646168,0.000119900539009084,1.27068105366702e-05,7.24995961718013e-06,7.68295435197317e-07,0.48818350356825,0.0579824977093736,NA,NA,NA,NA,0.00262000041794557,0.000152009571054132,1.55693588525747e-05,8.8077281654152e-06,9.02052586849962e-07
"766",-0.0649012487790084,0.0030219342111014,0.000179968006144921,1.88212888101833e-05,1.07030033434679e-05,1.11924648449334e-06,0.13922248296588,0.133787189051783,0.0576710543614161,NA,NA,NA,0.00311152032984094,0.000180565029851158,1.84943251584268e-05,1.04624142843177e-05,1.07151969845676e-06
"767",0.144176596609573,0.00246213500340488,0.000133195332641085,1.2901454729947e-05,7.19731691553576e-06,6.97099439486024e-07,0.385458909838255,0.133770701105098,NA,NA,NA,NA,0.0034899783185322,0.000202569242010661,2.07483376879591e-05,1.17375370875269e-05,1.2021136021767e-06
"768",0.0201192556174887,0.00104960382511911,4.36406549664047e-05,3.42602121184164e-06,1.81347931365699e-06,1.42442540048365e-07,0.0144004518619755,0.17866224635117,0.0885080789916934,NA,NA,NA,0.00158688690175237,9.20156085638928e-05,9.42426015214724e-06,5.33138130255976e-06,5.46017931624798e-07
"769",1.57653855250613,0.56037248513159,0.0495251716015022,0.00531246780222036,0.00302533376337922,0.000317064074472892,0.0949146915491602,0.315893758137315,0.111158076092927,NA,NA,NA,0.541065190243254,0.0460747292672314,0.00483094831250553,0.00273610225918919,0.000280603519193836
"770",0.0877008497832053,0.0050864331042831,0.000226088495042809,1.86952903444947e-05,1.00250336740265e-05,2.30009618997145e-11,0.266855996186487,0.080359462931429,0.0547241797943109,NA,NA,NA,0.0109222839980521,0.000636535233592769,6.52122964126483e-05,3.68916417729459e-05,3.77834970196914e-06
"771",0.543965063016854,0.00431522708234905,0.000260252376368927,2.74784807836817e-05,1.5663226691734e-05,1.65358840470556e-06,0.117401135819499,0.113593017472809,NA,NA,NA,NA,0.0028517018729225,0.000165465416848097,1.69476265321713e-05,9.5874287762406e-06,9.81906673707969e-07
"772",0.743681649370472,0.0215120383014233,0.00103735848546171,9.09844735133004e-05,4.95087911881397e-05,4.3402515732562e-06,0.276998719058197,NA,NA,NA,NA,NA,0.0298724837436457,0.00175867504223272,0.000180275665799127,0.000101987680454099,1.04456639714024e-05
"773",0.152700482290546,3.65803793454273e-05,2.17060687177287e-07,3.62017066909157e-09,1.37034044550272e-09,3.76601293516762e-11,0.0729186820781276,0.077235057984402,NA,NA,NA,NA,0.00371819500654387,0.000215493409298564,2.20702857344333e-05,1.24853249365027e-05,1.27869305608226e-06
"774",2.60638310145392,0.229547855660939,0.0130569317762188,0.00117240168925627,0.000640775115260112,5.71209576188164e-05,0.0017631277068407,0.245780928035279,0.119167312074682,NA,NA,NA,0.0977365012766169,0.00597115444302502,0.00061335551953385,0.000347030498409026,3.55474389915212e-05
"775",-0.0411196737588242,0.0167455209823903,0.00120218953851133,0.000145204874219558,8.55918430720233e-05,1.03322893597162e-05,0.0411710105740325,0.155061254288231,0.103091182603221,NA,NA,NA,0.0111245600818016,0.000648489694749435,6.64379610650241e-05,3.75850463902357e-05,3.84936963869952e-06
"776",-0.0287321395012355,0.000297130353206777,9.83283223618545e-06,6.43299296395722e-07,3.25346569693401e-07,2.12852439413933e-08,0.379504622069252,0.0475850129876571,NA,NA,NA,NA,0.00121856799593063,7.06467934168807e-05,7.23559409551355e-06,4.09323307583116e-06,4.19211687970597e-07
"777",1.08659042290332,0.0156419586684922,0.00111283901569631,0.000133581269458655,7.86196976302775e-05,9.43280529409395e-06,0.0695454937880827,0.224576708468539,0.0859597561610149,NA,NA,NA,0.0150675549948529,0.000879915894555586,9.0156585154333e-05,5.10033125289258e-05,5.22366605735585e-06
"778",0.363276613631837,0.00122570766191635,6.1600068753689e-05,5.62746763801894e-06,3.09380567998297e-06,2.82625450705548e-07,0.0773439471684177,0.109333058902555,0.0560693952902503,NA,NA,NA,0.00164547607177479,9.54159243805922e-05,9.77253839677834e-06,5.52840564294793e-06,5.66196377532969e-07
"779",0.393242167360144,0.00244823699479076,0.000113027458287553,9.65052900666768e-06,5.21665037253631e-06,4.45403327639989e-07,0.106021325148414,0.044710362571212,0.044710362571212,NA,NA,NA,0.003751423852004,0.000217425737304041,2.22682266103457e-05,1.25973025942115e-05,1.29016144756389e-06
"780",1.2378799046196,0.0547163213048452,0.00448131174531969,0.000593655482997216,0.000358012922188466,4.73381863306394e-05,0.125497360697127,0.0993832338979112,NA,NA,NA,NA,0.0414320944431773,0.00245470454133366,0.00025171195862728,0.000142403953514955,1.45854307277342e-05
"781",0.812121167841807,0.0148444999855915,0.000773721354037542,7.23799009079557e-05,4.00259453631081e-05,3.74294492578085e-06,0.210567597838735,0.0872440791576174,NA,NA,NA,NA,0.0258371887026812,0.00151773077382946,0.000155558089254405,8.80036219868594e-05,9.01334041072078e-06
"782",-0.528445433718715,0.00170250928799446,5.59191334831803e-05,3.63395702827396e-06,1.83476921210491e-06,1.19230268592363e-07,0.0346430348350384,NA,NA,NA,NA,NA,0.0027406634874093,0.00015901735687016,1.62871609581759e-05,9.21379647413019e-06,9.43640626323813e-07
